predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(tense),0.16741177201195515,0.011396494734845355,0.2860195963535753,500,0,0.585315741110976
male_perc:C(syntactic_role),0.1332298045832232,0.01059077181604991,0.2276204025033436,500,0,0.585315741110976
male_perc:C(semantic_role),0.13266243532259184,0.010590771816049904,0.22665106369903526,500,0,0.585315741110976
male_perc,0.12443998152949598,0.010368513957389445,0.21260316917720165,500,0,0.585315741110976
C(syntactic_role):C(tense),0.007715368367866839,0.00043076295684100097,0.013181549420185512,500,0,0.585315741110976
C(semantic_role):C(syntactic_role),0.006317322854225664,0.0003862960156223562,0.01079301718801357,500,0,0.585315741110976
C(syntactic_role),0.005963992839394077,0.00038215060828798025,0.010189360067566171,500,0,0.585315741110976
"C(tense):C(valence, Treatment(reference='-val'))",0.001625242385552848,0.00011377564079694274,0.002776693451756497,500,0,0.585315741110976
C(semantic_role):C(tense),0.0014745303116779644,0.00010839519567084636,0.0025192049489036264,500,0,0.585315741110976
"C(tense):C(dominance, Treatment(reference='-dom'))",0.0014069977715084996,0.00010354766165045517,0.0024038269820625454,500,0,0.585315741110976
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.0012222143314338655,2.989245371076131e-05,0.0020881282453022797,500,0,0.585315741110976
C(tense),0.0009387077097999515,9.419093181436389e-05,0.001603762967348545,500,0,0.585315741110976
"C(semantic_role):C(valence, Treatment(reference='-val'))",0.0005791773857215119,3.0304748020492494e-05,0.0009895127450736025,500,0,0.585315741110976
"C(valence, Treatment(reference='-val'))",0.0003281937065289979,2.7189187939045257e-05,0.0005607122506325562,500,0,0.585315741110976
