feature,coefficient,nonzero
Intercept,0.0,False
C(semantic_role)[T.patient],0.0,False
"C(valence, Treatment(reference='-val'))[T.+val]",-0.0,False
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.019005298567558317,True
"C(semantic_role)[T.patient]:C(valence, Treatment(reference='-val'))[T.+val]",-0.02837978918017995,True
"C(semantic_role)[T.patient]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.0018358900095602716,True
"C(valence, Treatment(reference='-val'))[T.+val]:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.06515274808201413,True
male_perc,1.0820726563263094,True
male_perc:C(semantic_role)[T.patient],0.04251335510116949,True
"male_perc:C(valence, Treatment(reference='-val'))[T.+val]",-0.020531363464432423,True
"male_perc:C(dominance, Treatment(reference='-dom'))[T.+dom]",-0.018194622608258087,True
